id	terms
Accounting	account, budget, money, tax
Advertising	ad, notify, marketing
Aerospace	air, aircraft, plane, travel
Agriculture	farm, crop, livestock
Alternative Dispute Resolution	mediation, arbitration, negotiation, resolution
Alternative Medicine	holistic, nature, acupuncture, herbal
Animation	cartoon, digital, motion, visual
Apparel	clothing, fashion, garment, textile
Architecture	blueprint, design, construction, structure
Arts and Crafts	creative, handmade, artisan, craftsmanship
Automotive	vehicles, car, automobile, transportation
Aviation	airplanes, flight, pilots, travel
Banking	finance, loan, savings, investment
Beverages	 drinks, refresh, taste, nature
Biotechnology	bioengineering, genetics, research, pharmaceuticals
Broadcast Media	television, radio, broadcasting, media
Building Materials	construction, materials, lumber, cement, bricks
Business Equipment	supplies, computers, printers
Business Supplies	stationery, furniture, paper, consumables
Business Support	 administration, outsourcing, consulting, assistance
Capital Markets	investments, stocks, bonds, trading
Casinos	gambling, gaming, slots, cards
Ceramics	pottery, porcelain, tiles, art
Chemical Production	processing, manufacturing
Chemicals	compounds, substances, reaction
Civil Engineering	infrastructure, roads, bridges, projects, urban, planning, engineering
Commercial Real Estate	properties, development, buildings, spaces, leasing, management
Computer Engineering	hardware, design, software, development, computer, systems, embedded
Computer Games	games, gaming, development, virtual
Computer Hardware	computer, components, processors, motherboards, peripherals, hardware
Computer Networking	data, communication, networks, infrastructure, routers, switches, security
Computer Software	software, applications, programming, development, engineering
Concrete	construction, material, cement, mixture, building, foundations, infrastructure
Construction	building, projects, construction, industry, management, contractors
Consumer Electronics	electronics, devices, gadgets, smartphones, home, appliances
Consumer Goods	retail, products, goods, consumer, market
Consumer Services	customer, services, hospitality, personal
Containers	shipping, containers, packaging, materials, storage, logistics
Cosmetics	beauty, skincare, makeup
Dairy	dairy, milk, cheese, yogurt, farming
Defense	military, national, security, defense, arms
Dentistry	dental, care, oral, health, clinics
Design	creative, design, graphics, visual
E-Learning	online, education, distance, learning, virtual, classroom, platforms
Editing	 proofreading, content, editing, copyediting, editorial
Education	learning, knowledge, academic, teaching
Education Management	administration, educational, leadership, curriculum, development, school, management
Electrical Engineering	power, systems, circuit, design, electrical, devices, infrastructure
Electrical Manufacturing	electrical, equipment, production, components, manufacturing
